run_id,timestamp,environment,num_workers,gpu_utilization_pct,memory_utilization_pct,memory_used_mb
2026-04-06T00:54:24Z,2026-04-06T00:54:16.378116Z,virtual,4,34.0,0.0,332.6171875
2026-04-06T00:54:24Z,2026-04-06T00:54:17.378557Z,virtual,4,0.0,0.0,332.6171875
2026-04-06T00:54:24Z,2026-04-06T00:54:18.379133Z,virtual,4,23.0,1.0,751.0859375
2026-04-06T00:54:24Z,2026-04-06T00:54:19.380490Z,virtual,4,58.0,0.0,751.0859375
2026-04-06T00:54:24Z,2026-04-06T00:54:20.381904Z,virtual,4,49.0,0.0,751.0859375
2026-04-06T00:54:24Z,2026-04-06T00:54:21.386691Z,virtual,4,57.0,0.0,751.0859375
2026-04-06T00:54:24Z,2026-04-06T00:54:22.391671Z,virtual,4,58.0,0.0,751.0859375
2026-04-06T00:54:24Z,2026-04-06T00:54:23.394416Z,virtual,4,67.0,0.0,751.0859375
2026-04-06T01:10:26Z,2026-04-06T01:10:18.358329Z,virtual,4,47.0,0.0,332.6171875
2026-04-06T01:10:26Z,2026-04-06T01:10:19.358817Z,virtual,4,48.0,0.0,332.6171875
2026-04-06T01:10:26Z,2026-04-06T01:10:20.359770Z,virtual,4,0.0,0.0,723.0859375
2026-04-06T01:10:26Z,2026-04-06T01:10:21.360551Z,virtual,4,2.0,0.0,751.0859375
2026-04-06T01:10:26Z,2026-04-06T01:10:22.361219Z,virtual,4,98.0,0.0,751.0859375
2026-04-06T01:10:26Z,2026-04-06T01:10:23.362079Z,virtual,4,97.0,0.0,751.0859375
2026-04-06T01:10:26Z,2026-04-06T01:10:24.362868Z,virtual,4,98.0,0.0,751.0859375
2026-04-06T01:10:26Z,2026-04-06T01:10:25.363610Z,virtual,4,98.0,0.0,751.0859375
2026-04-06T01:20:25Z,2026-04-06T01:20:17.126857Z,virtual,4,47.0,0.0,332.6171875
2026-04-06T01:20:25Z,2026-04-06T01:20:18.127576Z,virtual,4,0.0,0.0,332.6171875
2026-04-06T01:20:25Z,2026-04-06T01:20:19.129096Z,virtual,4,0.0,0.0,717.0859375
2026-04-06T01:20:25Z,2026-04-06T01:20:20.129374Z,virtual,4,41.0,0.0,751.0859375
2026-04-06T01:20:25Z,2026-04-06T01:20:21.129865Z,virtual,4,98.0,0.0,751.0859375
2026-04-06T01:20:25Z,2026-04-06T01:20:22.130416Z,virtual,4,98.0,0.0,751.0859375
2026-04-06T01:20:25Z,2026-04-06T01:20:23.131057Z,virtual,4,98.0,0.0,751.0859375
2026-04-06T01:20:25Z,2026-04-06T01:20:24.131479Z,virtual,4,98.0,0.0,751.0859375
